Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,Latitude,Longitude,Altitude,HDOP,UTM_easting,UTM_northing,UTC,Zone,Letter
1675628498.308322,125,73298,0,GPS1_Frame,42.33919143676758,-71.08447265625,10.5,1.0,328285.375,4689541.5,202138.000,19,T
1675628499.3163493,126,73299,0,GPS1_Frame,42.33919143676758,-71.08447265625,10.5,1.0,328285.375,4689541.5,202139.000,19,T
1675628500.309265,127,73300,0,GPS1_Frame,42.33919143676758,-71.08447265625,10.5,1.0,328285.375,4689541.5,202140.000,19,T
1675628501.3075686,128,73301,0,GPS1_Frame,42.33919143676758,-71.08447265625,10.5,1.0,328285.375,4689541.5,202141.000,19,T
1675628502.309167,129,73302,0,GPS1_Frame,42.33919143676758,-71.08447265625,10.5,1.0,328285.375,4689541.5,202142.000,19,T
1675628503.311832,130,73303,0,GPS1_Frame,42.33919143676758,-71.08447265625,10.5,1.0,328285.375,4689541.5,202143.000,19,T
1675628504.308556,131,73304,0,GPS1_Frame,42.33919143676758,-71.08447265625,10.5,1.0,328285.375,4689541.5,202144.000,19,T
1675628505.3073063,132,73305,0,GPS1_Frame,42.33919143676758,-71.08447265625,10.5,1.0,328285.375,4689541.5,202145.000,19,T
1675628506.3084764,133,73306,0,GPS1_Frame,42.33919143676758,-71.08447265625,10.5,1.0,328285.375,4689541.5,202146.000,19,T
1675628507.3071399,134,73307,0,GPS1_Frame,42.33919143676758,-71.08447265625,10.5,1.0,328285.375,4689541.5,202147.000,19,T
1675628508.3053942,135,73308,0,GPS1_Frame,42.33919143676758,-71.08447265625,10.5,1.0,328285.375,4689541.5,202148.000,19,T
1675628509.3003514,136,73309,0,GPS1_Frame,42.33919143676758,-71.08447265625,10.5,1.0,328285.375,4689541.5,202149.000,19,T
1675628510.2962954,137,73310,0,GPS1_Frame,42.33919143676758,-71.08447265625,10.5,1.0,328285.375,4689541.5,202150.000,19,T
1675628511.2990186,138,73311,0,GPS1_Frame,42.33919143676758,-71.08447265625,10.5,1.0,328285.375,4689541.5,202151.000,19,T
1675628512.3066304,139,73312,0,GPS1_Frame,42.33919143676758,-71.08447265625,10.5,1.0,328285.375,4689541.5,202152.000,19,T
1675628513.3069828,140,73313,0,GPS1_Frame,42.33919143676758,-71.08447265625,10.5,1.0,328285.375,4689541.5,202153.000,19,T
1675628514.306769,141,73314,0,GPS1_Frame,42.33919143676758,-71.08447265625,10.5,1.0,328285.375,4689541.5,202154.000,19,T
1675628515.3139338,142,73315,0,GPS1_Frame,42.33919143676758,-71.08447265625,10.5,1.0,328285.25,4689541.5,202155.000,19,T
1675628516.305331,143,73316,0,GPS1_Frame,42.33919143676758,-71.08447265625,10.5,1.0,328285.25,4689541.5,202156.000,19,T
1675628517.2966764,144,73317,0,GPS1_Frame,42.33919143676758,-71.08447265625,10.5,1.0,328285.25,4689541.5,202157.000,19,T
1675628518.3052585,145,73318,0,GPS1_Frame,42.33919143676758,-71.08447265625,10.5,1.0,328285.25,4689541.5,202158.000,19,T
1675628519.3075397,146,73319,0,GPS1_Frame,42.33919143676758,-71.08447265625,10.5,1.0,328285.25,4689541.5,202159.000,19,T
1675628520.295485,147,73320,0,GPS1_Frame,42.33919143676758,-71.08447265625,10.5,1.0,328285.25,4689541.5,202200.000,19,T
1675628521.3067827,148,73321,0,GPS1_Frame,42.33919143676758,-71.08447265625,10.5,1.0,328285.25,4689541.5,202201.000,19,T
1675628522.3064318,149,73322,0,GPS1_Frame,42.33919143676758,-71.08447265625,10.5,1.0,328285.25,4689541.5,202202.000,19,T
1675628523.3081996,150,73323,0,GPS1_Frame,42.33919143676758,-71.08447265625,10.5,1.0,328285.25,4689541.5,202203.000,19,T
1675628524.3074749,151,73324,0,GPS1_Frame,42.33919143676758,-71.08447265625,10.5,1.0,328285.25,4689541.5,202204.000,19,T
1675628525.3081543,152,73325,0,GPS1_Frame,42.33919143676758,-71.08447265625,10.5,1.0,328285.25,4689541.5,202205.000,19,T
